신조어,설명,유행여부
401.정누마,정치는 누가해도 마찬가지.,
402.미친년,미치도록 친해지고 싶은 여자,
403.미친넘,미치도록 친해지고 싶은 남자,
404.발컨,게임을 못하는 사람,
405.억텐,억지텐션,
406.중꺽마,중요한 상황에서 꺽이지 않은 마음,
407.갓생,성실하고 부지런한 삶,
408.이선좌,이미 선택된 좌석,
409.네카라쿠배당토,네이버카카오라인쿠팡배달의민족당근마켓토스,
410.막나귀,막상 나가려니 귀찮다.,
411.섹시푸드,"맛,비쥬얼,가격 모두 출중하다.",
412.가면비,종업원 얼굴에 값어치가 있슴.,
413.추구미,각자가 추구하는 미적 방향성.,
414.안남미,안꾸며도 타인을 홀리는 미모.,
415.익속,익명으로 전하는 속마음.,
416.캘박,새 일정을 캘린더에 추가하는것.,
417.분깨미,분위기 깨서 미안하다.,
418.돼지런,먹을때 만큼만 부지런한거.,
419.꾸에엑,후회하는 마음을 표현한것(후회해),
420.감다살,감다 살았네.뛰어난 뭔가를 보거나(한치의 모자름이 없어보이면서 멋져보일때.상대가 자신이나 대중들의 기대에 넘치게 부흥했을때.),
421.감다뒤,"감 다 뒤졌네.(상대에게 실망,기대에 못미쳤거나 조롱하고 싶을때 사용)",
422.종노플예,종이 노 플라스틱 예스(종이빨대의 단점이 플라스틱의 불편함에 비해 강하다보니 불편함을 지적하는 신조어),
423.싹싹 김치,좋은 음식을 먹었거나 게임 등에서 이겼을때 좋은 의미로 사용하는 감탄사.,
424.일세스코,일 잘하는 사람한테 방해가되는 사람을 가르키는말로 업무 효율 떨어뜨리고 짐이되는 동료에게 가르켜 사용하는말.,
425.한플루언서,한숨을 너무 크게 쉬어서 주변에 눈쌀을 찌푸리게 하는 사람.,
426.위쑤시개,답답한 속을 뻐엉~뚫어줄 매운음식을 가르킴.스트레스 받을때 먹는 매운 음식.,
427.밥플릭스,밥먹으면서 보는 영상.ex)밥먹으면서 할꺼 찾을때-대부분 영상을 보니까 적절히 맞춰서 사용.,
428.랜선생님=랜선상님=랜선생=랜위인,"랜선상에서 알게되었지만 학원, 학교보다 큰 가르침을 받았을때 존경의 의미로 사용.",
429.수발새끼,여행을 가든 뭔일을 하든 일않하고 손가락은 고사하고 주둥이만 터는 인간을 가르켜 하는말.(향후100년 동안은 사라지지 않을 신조어.),
430.수발년,428번과 같은 말이지만 수발새끼가 많을까요 수발년이 많을까요^^,
431.무지컬,피지컬+뇌지컬 둘다 없는사람.,
432.쌍무지컬,"피지컬,뇌진컬에 오복까지 없는 사람.",
433.손절미,손절하고 싶어지게 만드는 특징이 있는 사람을 가르킬때 사용.,
434.테무 인간,temu+인간-일은 열심히 하는데 퀄리티가 별로인 사람.,
435.느좋,"느낌 좋거나 기분 좋을때 사용(느좋녀,느좋남,느좋강,느좋쌤 등등)",
436.깊생,깊이 생각.,
437.세상이 날 억까해,세상이 나에게만 부정적이고 편의를 봐주지 않는것 같을때 사용.,
438.불소,불타는 소통,
439.반신,반말 신청,
440.반박,반말 모드 박탈,
441.윰차,구독자 유무를 차별,
442.닉차,닉네임 차별,
443.설참,설명 참고,
444.전공,전체 공개,
445.싫테,싫어요 테러,
446.임구,이미 구독,
447.구취,구독 취소,
448.사바사,사람 바이 사람(사람에 따라 다르다),
449.꾸안꾸,꾸민 듯 안 꾸민 듯,
450.자만추,자연스러운 만남을 추구,
451.핑프,핑거프린스 혹은 핑거프린세스의 줄임말로 손 하나 까딱거리면서 공주나 왕자처럼 무언가를 쉽게 얻으려는 사람을 의미,
452.영고,영원히 고통받는,
453.별다줄,별걸 다 줄인다,
454.오저치고,오늘 저녁 치킨 고?,
455.만반잘부,만나서 반가워 잘 부탁해,
456.오놀아놈,오 놀 줄 아는 놈인가,
457.커엽,귀엽다,
458.존잘,존나 잘생김,
459.존예,존나 예쁨,
460.졸귀,졸라 귀여움,
461.tmi,too much imformation,
462.tmt,too much talker,
463.띵작,명작,
464.씹상타,진짜 사실,
465.팩폭,팩트 폭력,
466.레알,진짜,
467.철컹철컹,감옥,
"468.와꾸,면상",얼굴,
469.빼박캔트,진짜 사실,
470.ㅃㅂㅋㅌ ㅂㅂㅂㄱ,빼박캔트 반박불가,
471.복세편살,복잡한 세상 편하게 살자,
472.쌉소리,이상한 소리,
473.mukbang,먹방,
474.삼귀다,사귀기 전단계,
475.너 인성 문제 있어?,가짜사나이 이근대위 유행어,
476.머리부터 발끝까지,가짜사나이 이근대위 유행어,
477.갑분싸,갑자기 분위기 싸해짐,
478.머선129,무슨일이야?,
479.국룰,당연한 일이나 규칙,
480.자만추,자연스러운 만남을 추구,
481.asmr,말을 안하고 소리만 들려주는다,
482.레게노,레전드,
483.jmt,존맛탱,
484.존맛탱,존나 맛있다,
485.졸맛나,졸라 맛있다,
486.말잇못,말을 잇지 못하는,
487.문찐,문화 찐따,
488.갑툭튀,갑자기 툭 튀어나옴,
489.금사빠,금방 사랑에 빠짐,
490.관종,관심 종자,
491.떡관종,진짜 관심 종자,
492.볼밉진,볼수록 밉상 진상,
493.댕댕이,멍멍이,
