신조어,설명,유행여부
1.여미새,여자에 미친ㅅㄲ.여자 밝히는 인간,0
2.남미새,'남자에 미친ㅅㄲ'. 남자 밝히는 인간,0
3.머선129,"""머선일이고""'무슨 일이야?""",0
4.방방봐,'방송은 방송으로만 봐라',0
5.채채봐,'채팅은 채팅으로만 봐라',0
6.가심비,가격 대비 심리적 만족도를 주는 것을 뜻한다.,0
7.ASKY,"'안 생겨요""뭔짓을해도 남친 또는 여친이 안 생긴다""",0
8.렬루,'real'(진짜)에서 파생된 신조어 '정말로',0
9.돼지런하다,먹을 때만 부지런하게 쳐먹는 인간,0
10.자낳괴,자본주의가 낳은 괴물,0
11.강직인,강아지를 키우는 직장인,0
12.슬세권,슬리퍼로 갈 수 있는 거리,0
13.캘박,캘린더에 박제,0
14.좋댓구알,"좋아요,댓글,구독,알림설정",0
15.억텐,억지텐션,0
16.킹리적갓심,합리적의심,0
17.주불,주소불러,0
18.쩝쩝박사,맛있는 음식 조합을 잘아는 사람,0
19.누물보,누구 물어본사람,0
20.ㅆㄱㄴ,무조건 가능,0
21.ㄹㅇ,정말,0
22.까리하다,잘 생기고 센스 있고 멋있어 보임.,0
23.깜지,종이에 빽빽할 정도로 글자를 써넣는것,0
24.꼬댕이,공부도 못해 놀지도 못해,0
25.꼽주다,쪽팔리게 하는것,0
26.낚다,속이는 행위.낚였다 낚았다,0
27.낚시글,사기치는 글로 사람들을 모으는 글빨짓,0
28.베프,Best Friend 또는 BF/좋은 친구,0
29.본좌,나의 높임말.예)허본좌,0
30.불펌,게시물을 주인한테 허락받지않고 불법으로 여기저기 퍼날르는짓,0
31.비추,추천하지 않음,0
32.비친,비밀 지켜주는 친구,0
33.스불재,스스로 불러온 재앙/스스로 계획하고 괴로와함,0
34.설참,설명 참고,0
35.재질,인간성/재질이 불량해,0
36.킹받네,킹+열받네,0
37.JMT(존맛탱),맛있다,0
38.TMI(티엠아이),필요 이상으로 많은 정보를 알려주기 위해 말이 긴인간,0
39.고인물,특정하게 한 분야에 몸담아서 습관적으로 잘하는인간,0
40.관태기,관계+ 권태기,0
41.언택트,타인과의 접촉을 피한다,0
42.무민세대,소소한 가치를 추구하며 살아가는 세대,0
43.별다줄,별걸 다 줄인다,0
44.얼로너,모든 것을 혼자서 즐기는 인간,0
45.띠용,분위기가 갑자기 어리둥절 해질 때 사용,0
46.좋페,페북에서 좋아요 누르면 페메를 간다,0
47.퇴준생,퇴사를 준비하는 인간,0
48.올린원,집근처에서 모든것을 해결,0
49.가심비,가격대비 심리적 만족감이 높을때,0
50.하드캐리,팀원을 승리로 이끈다,0
51.혼틈,"""혼란을 틈타다""",0
52.믿거페,"""믿고 거르는 페이스북""페북에 올라오는 뉴스,광고 등 믿지않는다",0
53.꾸안꾸,꾸민듯 안 꾸민듯,0
54.최애,"최고로 사랑 ""가장 사랑하고 좋아한다""",0
55.나일리지,나이값,0
56.갠소,개인소장,0
57.걍고,기냥 go 해!,0
58.걸조,걸어다니는 조각인간=꽃미남,0
59.격친,격하게 친하게 지냄,0
60.고고싱,어디어디?가자/술집으로 고고씽/화장실로고고씽,0
61.무물,무엇이든 물어보세요,0
62.ㅈㅂㅈㅇ,"넷상에서 정보구걸할때 ""정보좀요""",0
63.메덕,메이크업 덕후,0
64.소확행,소소하지만 확실한 행복,0
65.애빼시,애교 빼면 시체,0
66.좋못사,좋다 못해 사랑한다,0
67.띵곡,명곡,0
68.누물보,누구 물어본 사람?,0
69.오저치고,오늘 저녁 치킨 고?'저녁에 치킨 먹자!!!,0
70.만반잘부,만나서 반가워 잘 부탁해!,0
71.제곧내,제목이 곧 내용,0
72.반퇴세대,조기퇴직해서 일자리찾는 세대,0
73.성덕,성공한 덕후,0
74.발컨,발로 컨트롤하다,0
75.세이런츠,"공유하다의 '셰어'+ 부모 '페어런츠', 자식의 일상을 SNS에 올리는 부모",0
76.옴뇸뇸,귀엽게도 냠냠,0
77.배사,배경 사진,0
78.물멍,물 보면서 멍때림,0
79.불멍,불 보면서 멍때림,0
80.오놀아놈/오놀아넘,오우 좀 놀쭐아는 놈(넘)이네,0
81.시발비용,열받아  충동구매할때 생기는 비용,0
82.벼락거지,벼락부자의 반대,0
83.싫존주의,싫으면 싫고 존중할껀 존중해주는주의,0
84.와우내,놀라운 감정을 좀더 귀엽게 표현하는 멘트,0
85.힙찔이,힙합+찌질=힙합을 모르는 인간,0
86.머글,아이돌에 관심이 없는 인간,0
87.꾸꾸꾸,꾸며도 꾸질 꾸질,0
88.뽐뿌,물건 사고 싶어서 눈알이 꼿힐때,0
89.쉼포족,바빠서 쉴틈이 없는 직장인(족),0
90.남아공,남아서 공부나 해라!!,0
91.갑통알,갑자기 통장을보니  당장 알바라도 뛰어야 할만큼 잔고가 없을때,0
92.구취,'구독취소,0
93.ㅊㅋㅊㅋ,축하해,0
94.ㄴㄴ,NONO,0
95.ㅉㅉ,쯧쯧,0
96.ㅋㅋㄹㅃㅃ,웃기다,0
97.ㄹㅈㄷ,대박,0
98.ㅇㅇ,응,0
99.무지개매너,"""무지 + 개매너""=매너가 더럽다",0
100.탕진잼,탕진 +재미=돈은 탕진했지만 즐거웠다,0
101.인구론,인문계 90%는 논다,0
102.자삭,내가 쓴 자료 지우는 행위,0
103.재접,PC나 스마트폰 재접속,0
104.찍퇴,찍어서 퇴직,0
105.​연서복,연애에 서툰 복학생,0
106.가싶남,가지고 싶을 정도로 잘생겼거나 돈많거나 잘생긴 매력의 남성,0
107.가싶녀,가지고 싶을 정도로 예쁘거나 돈많거나 잘생긴 매력의 여성,0
108.줘안넘,줘도 안갖을 넘,0
109.줘안년,줘도 안갖을 년,0
​110.안물안궁,안 물어봤고 안 궁금해,0
​111.커엽다,"ㅋ 과 귀 자가 모양이 비슷.그래서 ""귀엽다"" 로 읽음",0
112.낄끼빠빠,"""낄 때 끼고 빠질 때 빠져라""=분위기 파악좀 해라",0
113.낄끼,낄때 껴라,0
114.빠빠,빠질때 빠져라,0
115.빼박캔트,빼도 박도 + 못한다(can't)=이러지도 저러지도 못하는 난처한 상황,0
116.ㅂㅂㅂㄱ,'반박불가'의 초성,0
"117.ㅜㅜ, ㅠㅠ",슬프거나 울 때,0
